Concert,Phrase,Musician1,Musician2,Texture,Pair,F_M1_M2,p_M1_M2,F_M2_M1,p_M2_M1,p_M1_M2_Bin,p_M2_M1_Bin,avgF,Melody Instrument
BrahmsConcertPart1,File18,m2,m5,H,m2_m5,2.367431462,9.65E-05,1.83981403,0.0051578,1,1,2.103622746,m5
BrahmsConcertPart1,File18,m3,m4,H,m3_m4,1.30301222,0.134859634,0.688019893,0.893581189,0,0,0.995516056,m5
BrahmsConcertPart1,File18,m3,m5,H,m3_m5,0.822384774,0.736372481,1.44882767,0.062066206,0,0,1.135606222,m5
BrahmsConcertPart1,File18,m4,m5,H,m4_m5,0.918854885,0.592756435,1.331364973,0.116886515,0,0,1.125109929,m5
BrahmsConcertPart2,File18,m1,m2,H,m1_m2,1.252611375,0.172527351,1.221913635,0.198801158,0,0,1.237262505,m5
BrahmsConcertPart2,File18,m1,m3,H,m1_m3,0.897244679,0.625840401,0.847378044,0.700472766,0,0,0.872311361,m5
BrahmsConcertPart2,File18,m1,m4,H,m1_m4,0.926619328,0.580799162,1.444626791,0.063882874,0,0,1.18562306,m5
BrahmsConcertPart2,File18,m1,m5,H,m1_m5,1.299198325,0.137812567,1.39731146,0.082897294,0,0,1.348254892,m5
BrahmsConcertPart2,File18,m2,m3,H,m2_m3,0.693391716,0.888530971,1.750311086,0.009625411,0,1,1.221851401,m5
BrahmsConcertPart2,File18,m2,m4,H,m2_m4,0.972553979,0.510491335,1.196893465,0.222319729,0,0,1.084723722,m5
BrahmsConcertPart2,File18,m2,m5,H,m2_m5,1.521763545,0.040904496,1.353127512,0.104812419,1,0,1.437445528,m5
BrahmsConcertPart2,File18,m3,m4,H,m3_m4,1.414443283,0.075534143,1.491754779,0.04880341,0,1,1.453099031,m5
BrahmsConcertPart2,File18,m3,m5,H,m3_m5,1.262088126,0.164999436,1.954614365,0.002319587,0,1,1.608351246,m5
BrahmsConcertPart2,File18,m4,m5,H,m4_m5,1.566957755,0.031185644,0.900868058,0.620307339,1,0,1.233912907,m5
BrahmsConcertPart1,File19,m1,m2,P,m1_m2,1.038249341,0.414065563,1.325217371,0.12143161,0,0,1.181733356,m1
BrahmsConcertPart1,File19,m1,m3,P,m1_m3,0.966041219,0.520451679,1.310559868,0.130703465,0,0,1.138300544,m1
BrahmsConcertPart1,File19,m1,m4,P,m1_m4,1.811692468,0.006445007,1.485552919,0.050909727,1,0,1.648622693,m1
BrahmsConcertPart1,File19,m1,m5,P,m1_m5,1.719254343,0.011983055,1.360893942,0.101081275,1,0,1.540074143,m1
BrahmsConcertPart1,File19,m2,m3,P,m2_m3,1.646263932,0.019206588,3.502133628,7.21E-09,1,1,2.57419878,m1
BrahmsConcertPart1,File19,m2,m4,P,m2_m4,1.80151794,0.006908383,2.028708153,0.001379504,1,1,1.915113047,m1
BrahmsConcertPart1,File19,m2,m5,P,m2_m5,1.666082442,0.016925513,1.455444466,0.060447746,1,0,1.560763454,m1
BrahmsConcertPart1,File19,m3,m4,P,m3_m4,1.798665695,0.007043808,1.765722777,0.008799968,1,1,1.782194236,m1
BrahmsConcertPart1,File19,m3,m5,P,m3_m5,1.874945516,0.004160349,1.773671649,0.008342083,1,1,1.824308583,m1
